TITLE,URL,ARCHIVE,SUBJECT,SENDER/RECEIVER,YEAR,POSITION
陈夔龙致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/3gwvs9kbn5eb4zoi&dataType=2,SD113132,电报 管理 运输, 陈夔龙,宣统年间,
陈夔龙致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/mwse6oncgo361va6&dataType=2,SD113133,保定府 天津府 职员 谋职, 陈夔龙,宣统年间,
陈夔龙致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/4d8kl5p42ydp5b2d&dataType=2,SD113134,人事 堤工 天津府 洪恩广 选官, 陈夔龙,宣统年间,
张人骏致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/2dpdf7ckwg429loy&dataType=2,SD113385,合同 广九铁路 汉阳铁厂 津浦铁路 津镇铁路,张人骏 ,宣统年间,
瑞澂致载泽、盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/xmeq6ssrull1lyso&dataType=2,SD114677,保路运动 盛宣怀 铁路,瑞澂 ,宣统年间,
[吴重憙]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/vm1qqmsfn7fb7mjg&dataType=2,SD109835,人事,[吴重憙]  ,宣统初年,
刘钟琳致义赈会盛宣怀、丁宝铨、冯煦电十一则,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/1m3aq4pfkq7t7qda&dataType=2,SD009311,[上海广仁堂义赈会] 宿州 灵璧县 赈济 邳州,刘钟琳 ,民国初年,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/pnss5h5qmqjqr1oy&dataType=2,SD026445,人事 盛文颐 矿务,孙宝琦 ,民国初年,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/e39x71qsz866l56s&dataType=2,SD026446,公务 履历,孙宝琦 ,民国初年,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/w41ri5i3my1zcjs6&dataType=2,SD026447,外籍工师 德国 矿务,孙宝琦 ,民国初年,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/rehf86qhulm9n3dh&dataType=2,SD026448,人事 夏泰阶 履历,孙宝琦 ,民国初年,
端方、樊增祥致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/tkeek5pajx48hx1e&dataType=2,SD082290,旱灾 甘肃 赈济,樊增祥 端方,光绪年间,
张曜致盛宣怀函,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/tmcuxddhzn9ttu4f&dataType=2,SD100298,水灾 隄工 革职,张曜 ,光绪年间,
张之洞致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/by7qo5ilu2esvngr&dataType=2,SD102268-2,汉阳铁厂 王文韶 电报,张之洞 ,光绪年间,
李岷深、杨文鼎致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/nfxqiqudhwd3phv6&dataType=2,SD112507,水灾 派任 湖北 赈济,李岷深 杨文鼎,光绪年间,
端方致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/z38ret1gxxlvxd6m&dataType=2,SD112598,社交 邮传部, 端方,光绪年间,
[沈瑜庆]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/6dqg83garz8lmnk3&dataType=2,SD113148,文牍处理 江西 邮政,[沈瑜庆]  ,光绪年间,
张人骏致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/8et6blrvbj3j3lhz&dataType=2,SD113384,报销 招募 汉阳铁厂 端方 股票,张人骏 ,光绪年间,
孙复瑞致盛宣怀、冯煦电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/tsp7lhv3gz5h2msx&dataType=2,SD009224,东海县 汇兑 海州直隶州 清江浦 虫灾,孙复瑞,1914-1914,
孙复瑞致盛宣怀、冯煦电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/nns1cmwgrylkko5h&dataType=2,SD009228,东海县 赈济,孙复瑞,1913-1914,
李经羲致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/rvdcki1ltybmb8yl&dataType=2,SD034023,奖赏 开复 报效银两 李训鋐,李经羲 ,1910-1911,
张人骏致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/krshtpsmytqmpo3h&dataType=2,SD034287,徐州府 段书云 水灾 赈济,张人骏 ,1910-1911,两江总督
朱家宝致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/hiunxmfxmwf8qnoe&dataType=2,SD043808,以工代赈 安徽 张人骏 水灾 江苏,朱家宝 ,1910-1911,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/mwmzb4pcgtq5cr2k&dataType=2,SD005253,山东 赈济,孙宝琦 ,1909-1911,
李经羲致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/dahn31423qwxeqkw&dataType=2,SD013018-8,预备立宪,李经羲 ,1909-1911,
武昌瑞澂致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/ahkgdmgd44izhqlf&dataType=2,SD015980,人事任免 宜万公司 路款,瑞澂 ,1909-1911,湖广总督
锡良致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/b85xm9btzz3swwc9&dataType=2,SD024841,借贷 吉林 安徽 捐赈 河南, 锡良,1909-1911,
[杨文鼎]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/newlion5a45dj57b&dataType=2,SD061204,张人骏 房屋 江宁 诉讼,杨文鼎 ,1909-1911,
李经羲致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/f9zgz7qx6vi59kcg&dataType=2,SD089719-2,云南 铁路 隆兴,李经羲 ,1909-1911,
张人骏致盛宣怀函,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/4t5kvteaj5qtwaea&dataType=2,SD006248,荒政 赈济,张人骏 ,1907-1909,
锡良致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/qrlvftiotk8xxl56&dataType=2,SD034552,云南 四川 旱灾 粮食 贵州, 锡良,1907-1908,
锡良致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/vfuj9xepj84lh183&dataType=2,SD034553,云南 粮食 赈济 越南 运输, 锡良,1907-1908,
锡良致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/dcr4eletuqdo8zlr&dataType=2,SD034554,云南 旱灾 汇兑 赈济, 锡良,1907-1908,
锡良致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/31uwhv382ix36nph&dataType=2,SD034555,云南 粮食 赈济 越南 运输, 锡良,1907-1908,
锡良致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/x4dtcb9lcsl1lf44&dataType=2,SD034557,云南 价格 粮食 蒙自县 赈济, 锡良,1907-1908,
瑞良致盛宣怀并农工商部电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/xymn8w881t67739k&dataType=2,SD016306,冶炼 张之洞 汉阳铁厂 江西 湖北,瑞良 ,1906-1908,
端方致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/2wvb1l6iuuqgarat&dataType=2,SD009236,关务 军需 安徽 平粜 恩铭, 端方,1906-1907,两江总督
周馥致吕海寰、盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/r5o9kfeyfpm4loyb&dataType=2,SD009334,上海 无锡县 租界 米 英国,周馥 ,1905-1906,
[岑春煊]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/39f1725evjgynom2&dataType=2,SD008502,山西 捐赈 赈济 陕西,[岑春煊]  ,1901-1902,
[岑春煊]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/pnwpqiy7a6wanayn&dataType=2,SD008503,山西 捐赈 赈济,[岑春煊]  ,1901-1902,
[岑春煊]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/h4nwynuviv9e3txw&dataType=2,SD008504,山西 捐赈 赈济,[岑春煊]  ,1901-1902,
[岑春煊]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/6zlpzju7jqppjzhk&dataType=2,SD008505,山西 捐赈 赈济,[岑春煊]  ,1901-1902,
[吴廷斌]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/a5sxr2uac1wfqzx9&dataType=2,SD008515,山西 捐赈 汇兑 赈济 陕西,[吴廷斌]  ,1901-1902,
张之洞致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/hx968uaxpqao957d&dataType=2,SD070117,天津 电报局 财务,张之洞 ,1893-1896,
福润致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/bomj19si3pz9xyiv&dataType=2,SD043614,山东 捐赈 李鸿章 水灾 直隶, 福润,1892-1893,
刘树堂、任锡汾等致季邦桢、盛宣怀、方恭钊等电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/6z9zbndrxg4kdz4c&dataType=2,SD043615,丝 借贷 山西 捐输 李鸿章,任锡汾 刘树堂,1892-1893,
刘树堂、任锡汾等致季邦桢、盛宣怀、方恭钊等电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/mio9eqv38wgvzfcu&dataType=2,SD043616,丝 崧骏 捐输 水灾 直隶,任锡汾 刘树堂,1892-1893,
刘树堂、任锡汾等致季邦桢、盛宣怀、方恭钊等电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/fgcch5tgnvwixj2t&dataType=2,SD043617,李鸿章 水灾 汇兑 浙江 源丰润票号,任锡汾 刘树堂,1892-1893,
岑春蓂致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/wsgk6ik69ejaflen&dataType=2,SD061426,法国 祥源 领事,岑春蓂 ,1891-1899,
王文韶致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/7advizunwc5gkvcf&dataType=2,SD091331,张之洞 德国 教案 李鸿章 比利时,王文韶 ,189？,
[张曜]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/661dxcvfbaym26rn&dataType=2,SD068529-1,兵饷,[张曜]  ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/bslcg841wt9x1t8a&dataType=2,SD068529-10,徐祝三 煤 矿务 胶州,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/4gbqr6l1pl53yi5v&dataType=2,SD068529-11,铁门,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/sgzj1w1blc3x1js7&dataType=2,SD068529-12,利津 山东 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/2gl9wqrc1creyush&dataType=2,SD068529-13,山东 矿务 铁门,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/reo445aznmoj8t9o&dataType=2,SD068529-14,济南 营勇,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/fdxglh12oyzcj3fu&dataType=2,SD068529-15,济南 烟台,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/ksg7bfszfpb6h7z6&dataType=2,SD068529-16,工匠 济南 黄倅辰,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/oqbksiu57pzuj99m&dataType=2,SD068529-17,工匠 桂阳 济南,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/cwnxibap3a8g18jn&dataType=2,SD068529-18,工匠 淄川 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/bkw3fzdl9zqhyk42&dataType=2,SD068529-19,淄川 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/zd8et18j24e2fk9v&dataType=2,SD068529-2,朱庆元 福山 程琼良,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/euc4hjo1hkxmie7c&dataType=2,SD068529-20,济南 淄川 烟台,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/69wpxwxhj174zrwl&dataType=2,SD068529-21,矿务 福山 阳信,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/89il4rwjnd8chacn&dataType=2,SD068529-22,宝东局 朱博源 贾海 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/vxygs14rn2543n7v&dataType=2,SD068529-23,宝东局 李鸿章 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/k9yidkxlr6bwn6k1&dataType=2,SD068529-24,李世祥 济南 浙江,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/cp5rhx3l5w6cz26u&dataType=2,SD068529-25,宝东局 宝泰局 广东 烟台 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/k4en411ijvxfc7o7&dataType=2,SD068529-26,工匠 铅 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/x13du4p2uiltprb6&dataType=2,SD068529-27,财务 轮船 采办,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/xii28fzy672ip4ul&dataType=2,SD068529-29,济宁 财务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/h84r8kiudwidceqo&dataType=2,SD068529-3,成山之案 李鸿章,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/fj6a78bthjusvt24&dataType=2,SD068529-30,均甫 朱德霖 烟台 矿务 秦倅根,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/zq81uj5ejtikq4n5&dataType=2,SD068529-31A,泰安 矿务 轮船 铁门关,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/38z3u4o8j5gavszl&dataType=2,SD068529-31B,土药 胶州 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/drzx8raf42uqmxy5&dataType=2,SD068529-32,均甫 矿务 轮船,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/pwj4tshykj9s2wip&dataType=2,SD068529-33,淄川 烟台 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/vl9oi1osn87p8lcy&dataType=2,SD068529-34,德威尼 淄川 矿务 轮船,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/qhamickcdtlzs2dz&dataType=2,SD068529-35,济宁 采办 铅 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/5oi1inqiu7zpsrdq&dataType=2,SD068529-36,胡培厚 黄县,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/odj6t15cdqll6iz8&dataType=2,SD068529-37,济宁 轮船,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/b9728e532ekfw7cv&dataType=2,SD068529-38,济宁 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/v98mh1bpqj24vpn5&dataType=2,SD068529-39,济宁 电报局 电线 铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/atxq7tg9h2h5ig7e&dataType=2,SD068529-4,铸币,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/yki9rszcwu3kvkcu&dataType=2,SD068529-40,周少逸 均甫 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/7ly926j1j6c5cqw9&dataType=2,SD068529-5,山东 捐赈,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/2ymxtlzhrj9xwh8o&dataType=2,SD068529-6,朱庆元 荣城,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/dfd5gtakos796bec&dataType=2,SD068529-7,即墨 朱庆元,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/dfe7ikylvlco4v3w&dataType=2,SD068529-8,徐祝三 李鸿章 淄川 矿务,张曜 ,1887-1889,山东巡抚
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/1rok3gl5tklg6mm8&dataType=2,SD068529-9,徐祝三 李鸿章 煤 矿务,张曜 ,1887-1889,山东巡抚
曾国荃致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/yzjf5yq4426nufi1&dataType=2,SD008903,募捐 山东 捐赈 李鸿章 汇丰银行,曾国荃 ,1884-1889,
张曜致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/q9xweolivhk7vop5&dataType=2,SD110655,会见 砲,张曜 ,188？,
天津督署致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/9r2s7ip2k6yy7f8m&dataType=2,SD111377,外籍工师 木材 经费 香港, 天津督署 ,188？,
孙宝琦、王存善致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/2uszuiq5b1w9pjh9&dataType=2,SD003422,中国银行 交通银行 内债 杨士琦 汇通公司,孙宝琦 王存善,?,
浦惠粥厂致冯煦、盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/x1bmd2m23xpsjv8m&dataType=2,SD009255,浦惠粥厂 清江浦 清河县 粥厂 赈济,冯煦 浦惠粥厂 ,?,
魏光焘致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/bcwxghoa1ekz2unl&dataType=2,SD013535,汇兑, 魏光焘,？,
魏光焘致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/qwqugpibghvo7i15&dataType=2,SD013563,考绩, 魏光焘,？,
[张人骏]致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/37jq8wabymc91wvt&dataType=2,SD013973,以工代赈 汪鲁门 海门 萧静斋 赈济,[张人骏]  ,？,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/8bkp2idjygpo7s9p&dataType=2,SD018625-2,人事 汉阳铁厂 陈福习,孙宝琦 ,？,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/e2p7j145oiet6ph2&dataType=2,SD018625-3,詹天佑,孙宝琦 ,？,
端方致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/mqlqnwxsk2dz6jqi&dataType=2,SD020455,仓储 武阳商会 漕运, 端方,？,
恩铭致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/pqg6yety9vq9324t&dataType=2,SD023859-2,中国通商银行 安徽 彩票 湖北 湖南, 恩铭 ,？,
邓之望致盛宣怀、冯煦电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/87bg6t6bnhor15hr&dataType=2,SD024245,凤台县 赈济, 邓之望,？,
